Feature,Coefficient
Intercept,86.33780730641408
Base Stats,-0.14263914206267506
Is Legendary,-0.8230078976786598
Egg Cycles,0.7255057225487076
Number Normal,-0.39696417762611114
Number Super Effective,-1.7579430691086353
Total Weakness,0.4789447852849546
R² score,0.5791549401024167
